Index,area,county,longitude,latitude,price,bathrooms,beds,ber_classification,property_type,surface_area,model
125,Wexford Town,Wexford,-6.458021,52.334008,225000,3,4,C2,terraced,,283503.805
126,Wexford Town,Wexford,-6.463593,52.335408,120000,1,3,E2,terraced,74.7,305496.5119
127,Gorey,Wexford,-6.379244,52.686382,399000,3,6,C2,detached,273.5,350060.1817
128,Blackwater,Wexford,-6.353377,52.447665,220000,3,4,C3,detached,114,312355.3147
129,Ballyhack,Wexford,-6.965194,52.250433,122500,2,2,C2,terraced,74,303463.8945
130,Tagoat,Wexford,-6.378732,52.243445,585000,3,4,Exempt,detached,340,367446.5493
131,Clonard,Wexford,-6.497613,52.331005,295000,2,4,C2,detached,,284553.8129
132,Duncannon,Wexford,-6.922976,52.221686,320000,2,4,C2,detached,,282858.0819
133,Fethard-On-Sea,Wexford,-6.873788,52.175548,269000,2,4,C3,detached,,282866.96
134,Gorey,Wexford,-6.337435,52.647294,270000,1,3,E1,detached,125.4,319412.4373
135,Gorey,Wexford,-6.312589,52.547177,325000,2,4,C2,detached,176,329300.4768
136,Taghmon,Wexford,-6.653897,52.323774,149500,2,4,C1,semi-detached,,284035.6745
137,Rosslare Strand,Wexford,-6.395524,52.276994,370000,3,4,C2,detached,198,332426.2059
138,Ardamine,Wexford,-6.230817,52.622045,199000,2,3,D1,detached,115.19,315962.9151
139,Gorey,Wexford,-6.235495,52.639307,200000,4,7,F,semi-detached,236.8,338930.7446
140,Wellington Bridge,Wexford,-6.728932,52.234365,299000,3,4,C1,detached,169,324071.1959
141,Courtown,Wexford,-6.238847,52.637752,179000,2,3,C2,end-of-terrace,95.5,311124.0728
142,Rosslare Strand,Wexford,-6.396419,52.285292,165000,2,3,D1,detached,,285913.7996
143,Barntown,Wexford,-6.533361,52.338705,345000,4,5,D1,detached,,280910.0878
144,Enniscorthy,Wexford,-6.581975,52.506818,135000,2,3,E1,terraced,,286031.5185
145,The Ballagh,Wexford,-6.408065,52.459119,325000,3,4,C1,detached,,284060.5441
146,Enniscorthy,Wexford,-6.546872,52.448545,300000,2,4,D2,detached,183.2,330022.5253
147,Wexford Town,Wexford,-6.479606,52.346338,520000,2,4,,end-of-terrace,225,340234.6947
148,Gorey,Wexford,-6.227943,52.616544,165000,2,3,D1,end-of-terrace,94.4,310819.3692
149,Gorey,Wexford,-6.275913,52.677172,185000,3,3,C3,end-of-terrace,102,311552.7004
150,Coolgreany,Wexford,-6.242602,52.766751,375000,2,3,D1,detached,122,318068.5388
